N Env_Canada,ID_SOMAEU,ID_ouvrage,Nom Ouvrage,SOMAEU-Secteur,Region,Trop-Plein X,Trop-Plein Y,Trop-Plein Z,Trop-Plein Lat,Trop-Plein Lon,Emissaire X,Emissaire Y,Emissaire Lon,Emissaire Lat
MTL-153,MTL-1,0642-01D,0642-01D Station d'epur. CUM - Cdte de deriv. d'urgence,OMAEU de Montreal (Station Jean-R.-Marcotte),MONTREAL (R-D-P),302760.72,5059197.57,,45.6726645581945,-73.5261744730218,307554.2,5058388.36,-73.4646540034421,45.6653806815436
MTL-162,MTL-2,0672-01D,0672-01D T.-P. 101e avenue,OMAEU de Montreal (Station Jean-R.-Marcotte),MONTREAL (R-D-P),302385.83,5060269.22,9.12,45.6823062250848,-73.5309915660176,302362.29,5060314.52,-73.5312939846466,45.6827137586788
MTL-164,MTL-3,0672-02D,0672-02D S.P. Riv.-des-Prairies - T.P. d'urgence,OMAEU de Montreal (Station Jean-R.-Marcotte),MONTREAL (R-D-P),303131.45,5061556.25,10.23,45.6938892926858,-73.5214241961586,303107.8,5061591.01,-73.5217279834598,45.6942020102478
MTL-159,MTL-4,0672-03D,0672-03D Regul. 89e avenue (Montreal),OMAEU de Montreal (Station Jean-R.-Marcotte),MONTREAL (R-D-P),301667.89,5059259.11,9.99,45.6732142303012,-73.5402015080491,301619.87,5059338.49,-73.5408183772808,45.6739282855525
IND-9,IND-2,0801-01D,Emissaire d'urgence (801-01D),OMAEU de Montreal (Ile Notre-Dame),ILE NOTRE-DAME,302655.4,5042120.33,13.71,45.5189984120942,-73.5274512451364,302752.59,5042284.09,-73.5262078808267,45.5204722827374
IND-3,IND-3,0801-02D,Entree de la station (801-02D),OMAEU de Montreal (Ile Notre-Dame),ILE NOTRE-DAME,302606.28,5041939.31,12.34,45.5173693679573,-73.5280791792443,302565.98,5041947.29,-73.528595047527,45.5174410472803
IND-2,IND-6,0801-03D,No 4 (801-03D),OMAEU de Montreal (Ile Notre-Dame),ILE NOTRE-DAME,302664.31,5040906.92,11.94,45.508079675582,-73.5273319097985,302600.4,5040879.57,-73.528149687734,45.5078333701315
IND-1,IND-7,0801-04D,No 5 (801-04D),OMAEU de Montreal (Ile Notre-Dame),ILE NOTRE-DAME,302939.54,5040332.74,12.36,45.5029137480435,-73.5238074224865,302924.16,5040332.16,-73.5240042308023,45.5029084877666
IND-4,IND-1,0801-05D,Versant est (801-05D),OMAEU de Montreal (Ile Notre-Dame),ILE NOTRE-DAME,302365.77,5041928.58,12.7,45.5172720168616,-73.5311576056383,301746.19,5042490.51,-73.5390915922844,45.5223260503241
IND-5,IND-4,0801-06D,No 1 (801-06D),OMAEU de Montreal (Ile Notre-Dame),ILE NOTRE-DAME,302224.3,5042087.05,18.66,45.518697485866,-73.5329692228008,301746.19,5042490.51,-73.5390915922844,45.5223260503241
IND-6,IND-5,0801-07D,No 2 (801-07D),OMAEU de Montreal (Ile Notre-Dame),ILE NOTRE-DAME,302139.77,5042135.79,33.58,45.5191357506511,-73.5340514797784,301746.19,5042490.51,-73.5390915922844,45.5223260503241
IND-7,IND-8,0801-08D,Ouest Vieux Fort (801-08D),OMAEU de Montreal (Ile Notre-Dame),ILE NOTRE-DAME,301893.92,5042164.1,14.13,45.5193895140184,-73.5371985765131,301746.19,5042490.51,-73.5390915922844,45.5223260503241
IND-8,IND-9,0801-09D,Terrain Jeux (801-09D),OMAEU de Montreal (Ile Notre-Dame),ILE NOTRE-DAME,302012.39,5041764.22,25.28,45.5157917153796,-73.5356798559737,301746.19,5042490.51,-73.5390915922844,45.5223260503241
MTL-157,MTL-5,3230-01D,3230-01D Ouv. de regul. St-Jean-Baptiste Nord (RdP),OMAEU de Montreal (Station Jean-R.-Marcotte),MONTREAL (R-D-P),301144.68,5058465.2,13.77,45.6660679377381,-73.5469110846225,300848.32,5059055.21,-73.5507192572704,45.6713753198126
MTL-150,MTL-6,3240-01D,3240-01D S.P. 71e avenue - T.-P. d'urgence,OMAEU de Montreal (Station Jean-R.-Marcotte),MONTREAL (R-D-P),300083.3,5058276.76,9.97,45.6643659177019,-73.5605306260624,300078.71,5058300.84,-73.5605897644218,45.6645825624067
MTL-151,MTL-7,3240-02D,3240-02D S.P. 71e Av. - Trop-plein d'orage pompe,OMAEU de Montreal (Station Jean-R.-Marcotte),MONTREAL (R-D-P),300084.53,5058275.92,10.11,45.6643583676012,-73.5605148330208,300078.71,5058300.84,-73.5605897644218,45.6645825624067
MTL-152,MTL-8,3240-03D,3240-03D S.P. 71e Av. - Trop-plein d'orage gravitaire,OMAEU de Montreal (Station Jean-R.-Marcotte),MONTREAL (R-D-P),300084.53,5058275.92,10.11,45.6643583676012,-73.5605148330208,300078.71,5058300.84,-73.5605897644218,45.6645825624067
MTL-145,MTL-9,3240-04D,3240-04D Trop-plein Rodolphe-Forget-Gouin,OMAEU de Montreal (Station Jean-R.-Marcotte),MONTREAL (R-D-P),298331.14,5057023.86,12.63,45.6530779784155,-73.5829998678616,298290.82,5057092.5,-73.5835181183469,45.6536952366673
MTL-72,MTL-10,3240-05D,3240-05D Trop-plein d'urgence Bassin de retention Perras,OMAEU de Montreal (Station Jean-R.-Marcotte),MONTREAL (R-D-P),300065.99,5057834.38,27.09,45.6603851879681,-73.5607484644277,284911.54,5041362.35,-73.7545436720545,45.5118974935891
MTL-148,MTL-11,3250-01D,3250-01D Ouv. de regulation Avenue 54,OMAEU de Montreal (Station Jean-R.-Marcotte),MONTREAL (R-D-P),299103.88,5057370.04,17.16,45.6561997423585,-73.5730891494854,298932.4,5057610.82,-73.5752923782975,45.6583648949071
MTL-147,MTL-12,3250-02D,3250-02D Trop-plein Riv-des-Prairies/Henri-Bourassa,OMAEU de Montreal (Station Jean-R.-Marcotte),MONTREAL (R-D-P),300580.88,5055979.09,38.93,45.6436942573503,-73.5541251368955,298932.17,5057610.57,-73.5752953266139,45.6583626434178
MTL-144,MTL-13,3260-01D,3260-01D Ouv. de regul. Rodolphe-Forget (41e Av.),OMAEU de Montreal (Station Jean-R.-Marcotte),MONTREAL (R-D-P),298543.38,5056761.45,20.17,45.6507187104077,-73.580273313983,298296.7,5057085.05,-73.5834425736506,45.6536282553372
MTL-141,MTL-14,3270-01D,3270-01D Ouv. de regulation Avenue 25,OMAEU de Montreal (Station Jean-R.-Marcotte),MONTREAL (R-D-P),297379.82,5055710.35,21.21,45.6412492462675,-73.5951859135611,297138.94,5056037.17,-73.5982810544546,45.6441874203693
MTL-138,MTL-15,3275-01D,3275-01D S.P. Av 13. - Trop-plein d'orage gravitaire,OMAEU de Montreal (Station Jean-R.-Marcotte),MONTREAL (R-D-P),296455.85,5055239.85,14.53,45.6370051032605,-73.6070305008532,296414.43,5055280.14,-73.6075624883131,45.6373671418393
MTL-139,MTL-16,3275-02D,3275-02D S.P. Av 13. - Trop-plein d'orage pompe,OMAEU de Montreal (Station Jean-R.-Marcotte),MONTREAL (R-D-P),296455.85,5055239.85,14.53,45.6370051032605,-73.6070305008532,296414.43,5055280.14,-73.6075624883131,45.6373671418393
MTL-137,MTL-17,3280-01D,3280-01D Ouv. de regulation Marc-Aurele-Fortin,OMAEU de Montreal (Station Jean-R.-Marcotte),MONTREAL (R-D-P),296542.3,5054909.39,23.86,45.6340325898499,-73.605916005845,296335.41,5055175.41,-73.6085742634312,45.636423801295
MTL-124,MTL-18,3280-02D,3280-02D Trop-plein Renaude-Lapointe/Henri-Bourassa,OMAEU de Montreal (Station Jean-R.-Marcotte),MONTREAL (R-D-P),297039.64,5052653.25,31.41,45.6137370694214,-73.5995010476672,297006.7,5052631.68,-73.5999230493006,45.613542608717
MTL-134,MTL-19,3290-01D,3290-01D Ouv. de regulation Langelier,OMAEU de Montreal (Station Jean-R.-Marcotte),MONTREAL-NORD,295291.03,5053772.67,19.85,45.6237881370813,-73.6219429952051,295068.51,5054065.79,-73.6248024365849,45.6264226124973
MTL-133,MTL-20,3305-01D,3305-01D Racc. Gouin-Langelier,OMAEU de Montreal (Station Jean-R.-Marcotte),MONTREAL-NORD,295120.05,5053989.83,12.7,45.6257398282933,-73.6241399497513,295068.51,5054065.79,-73.6248024365849,45.6264226124973
MTL-131,MTL-21,3305-02D,3305-02D Racc. Gouin-Rolland,OMAEU de Montreal (Station Jean-R.-Marcotte),MONTREAL-NORD,294815.17,5053714.41,12.51,45.6232572241912,-73.6280442136267,294731.91,5053790.9,-73.6291135066657,45.6239442960817
MTL-129,MTL-22,3305-03D,3305-03D Ouv. Lacordaire - Trop-plein d'orage,OMAEU de Montreal (Station Jean-R.-Marcotte),MONTREAL-NORD,294439.11,5053309.84,11.76,45.6196113078804,-73.6328581487891,294410.5,5053343.73,-73.6332257372849,45.6199158303584
